paper_id,title,domain,mode,task_id_or_doc_id,url
paper_scv_6c18631db5,UQ for Credit Risk Management: A deep evidence regression approach,drug-discovery,sciverse_content_v1,fa357a923064ca484995cabb65618f7ab5ed365761c68ef96a82761f14361a2c,https://api.sciverse.space/content?doc_id=fa357a923064ca484995cabb65618f7ab5ed365761c68ef96a82761f14361a2c
paper_scv_6c3ce38de4,Large Scale Foundation Model on Single-cell Transcriptomics,computational-biology,sciverse_content_v1,5f83d3f0b9429c0f3559290d5e333d38a640e8a61678f7dfc7927ee203452c22,https://api.sciverse.space/content?doc_id=5f83d3f0b9429c0f3559290d5e333d38a640e8a61678f7dfc7927ee203452c22
paper_scv_6e9e6cb0a4,Integrated metal‐organic framework (MOF) and pressure/vacuum swing adsorption process design: MOF matching,materials-science,sciverse_content_v1,5697fada881a4cc1b6e082a0c371a7c4ef164e0e872ffaa1aed53305084e7091,https://api.sciverse.space/content?doc_id=5697fada881a4cc1b6e082a0c371a7c4ef164e0e872ffaa1aed53305084e7091
paper_scv_6f3416b1ce,Machine learning and descriptor selection for the computational discovery of metal-organic frameworks,materials-science,sciverse_content_v1,2ddb09ad3413217be32476ea4debd6c9ce8867a7327cc63c1cfeb623b03b1977,https://api.sciverse.space/content?doc_id=2ddb09ad3413217be32476ea4debd6c9ce8867a7327cc63c1cfeb623b03b1977
paper_scv_70995c0731,Anchor Points: Benchmarking Models with Much Fewer Examples,computational-biology,sciverse_content_v1,c0678dab5d6188c618eb0bef4818187e155125de568e0f8b5e7e7736134f2bdf,https://api.sciverse.space/content?doc_id=c0678dab5d6188c618eb0bef4818187e155125de568e0f8b5e7e7736134f2bdf
paper_scv_70bfea6b78,Understanding the dynamics and energetics of magnetic reconnection in a laboratory plasma: Review of recent progress on selected fronts,plasma-physics,sciverse_content_v1,fa459f5b03eb1a644061bbaa61f4de29447555773ee33e55cc3a70a407335b66,https://api.sciverse.space/content?doc_id=fa459f5b03eb1a644061bbaa61f4de29447555773ee33e55cc3a70a407335b66
paper_scv_7816f70e73,"Explainable Machine Learning Reveals Capabilities, Redundancy, and Limitations of a Geospatial Air Quality Benchmark Dataset",earth-science,sciverse_content_v1,a0ff9edfe2c99a1dac324f262eca7c248823a5c80118720acc070260e47aad0d,https://api.sciverse.space/content?doc_id=a0ff9edfe2c99a1dac324f262eca7c248823a5c80118720acc070260e47aad0d
paper_scv_79032336e0,Calibrated geometric deep learning improves kinase–drug binding predictions,drug-discovery,sciverse_content_v1,97a4952584ec2c9c9821fc422931ae2946fda280d5cafe96e2a7d1ae3c23a60c,https://api.sciverse.space/content?doc_id=97a4952584ec2c9c9821fc422931ae2946fda280d5cafe96e2a7d1ae3c23a60c
paper_scv_79261c5679,From Laptop to Benchtop to Bedside: Structure-based Drug Design on Protein Targets,drug-discovery,sciverse_content_v1,0ca3ba4039aa8efa2f3426bfa40b963459126fd26d91df3cc22a6388980c1c5c,https://api.sciverse.space/content?doc_id=0ca3ba4039aa8efa2f3426bfa40b963459126fd26d91df3cc22a6388980c1c5c
paper_scv_7a076da65d,A comparison of successful and failed protein interface designs highlights the challenges of designing buried hydrogen bonds,protein-engineering,sciverse_content_v1,8d3e1008179f3fd817f3201ea1af3693f3a87ba5007030920c3fa03c978d7c73,https://api.sciverse.space/content?doc_id=8d3e1008179f3fd817f3201ea1af3693f3a87ba5007030920c3fa03c978d7c73
